table_name,column_name,data_type,ordinal_position
cln_actionkit__core_emailwrapper,data_owner_code,STRING,20
cln_actionkit__core_eventcreateaction,_dbt_source_relation,STRING,1
cln_actionkit__core_eventcreateaction,action_ptr_id,INT64,2
cln_actionkit__core_eventcreateaction,event_id,INT64,3
cln_actionkit__core_eventcreateaction,source_schema,STRING,4
cln_actionkit__core_eventcreateaction,source_table,STRING,5
cln_actionkit__core_eventcreateaction,vendor,STRING,6
cln_actionkit__core_eventcreateaction,vendor_unique_eventcreateaction_id,STRING,7
cln_actionkit__core_eventcreateaction,data_owner_id,INT64,8
cln_actionkit__core_eventcreateaction,data_owner_code,STRING,9
cln_actionkit__core_eventsignupaction,_dbt_source_relation,STRING,1
cln_actionkit__core_eventsignupaction,action_ptr_id,INT64,2
cln_actionkit__core_eventsignupaction,signup_id,INT64,3
cln_actionkit__core_eventsignupaction,source_schema,STRING,4
cln_actionkit__core_eventsignupaction,source_table,STRING,5
cln_actionkit__core_eventsignupaction,vendor,STRING,6
cln_actionkit__core_eventsignupaction,vendor_unique_eventsignupaction_id,STRING,7
cln_actionkit__core_eventsignupaction,data_owner_id,INT64,8
cln_actionkit__core_eventsignupaction,data_owner_code,STRING,9
cln_actionkit__core_fromline,_dbt_source_relation,STRING,1
cln_actionkit__core_fromline,id,INT64,2
cln_actionkit__core_fromline,from_line,STRING,3
cln_actionkit__core_fromline,hidden,BOOL,4
cln_actionkit__core_fromline,utc_created_at,TIMESTAMP,5
cln_actionkit__core_fromline,utc_updated_at,TIMESTAMP,6
cln_actionkit__core_fromline,is_default,BOOL,7
cln_actionkit__core_fromline,source_schema,STRING,8
cln_actionkit__core_fromline,source_table,STRING,9
cln_actionkit__core_fromline,vendor,STRING,10
cln_actionkit__core_fromline,vendor_unique_fromline_id,STRING,11
cln_actionkit__core_fromline,data_owner_id,INT64,12
cln_actionkit__core_fromline,data_owner_code,STRING,13
cln_actionkit__core_language,_dbt_source_relation,STRING,1
cln_actionkit__core_language,id,INT64,2
cln_actionkit__core_language,utc_created_at,TIMESTAMP,3
cln_actionkit__core_language,utc_updated_at,TIMESTAMP,4
cln_actionkit__core_language,hidden,BOOL,5
cln_actionkit__core_language,name,STRING,6
cln_actionkit__core_language,iso_code,STRING,7
cln_actionkit__core_language,inherit_from_id,INT64,8
cln_actionkit__core_language,ordering,INT64,9
cln_actionkit__core_language,translations,STRING,10
cln_actionkit__core_language,source_schema,STRING,11
cln_actionkit__core_language,source_table,STRING,12
cln_actionkit__core_language,vendor,STRING,13
cln_actionkit__core_language,segment_by_key,STRING,14
cln_actionkit__core_language,vendor_unique_core_language_id,STRING,15
cln_actionkit__core_language,data_owner_id,INT64,16
cln_actionkit__core_language,data_owner_code,STRING,17
cln_actionkit__core_letteraction,_dbt_source_relation,STRING,1
cln_actionkit__core_letteraction,action_ptr_id,INT64,2
cln_actionkit__core_letteraction,source_schema,STRING,3
cln_actionkit__core_letteraction,source_table,STRING,4
cln_actionkit__core_letteraction,vendor,STRING,5
cln_actionkit__core_letteraction,vendor_unique_letteraction_id,STRING,6
cln_actionkit__core_letteraction,data_owner_id,INT64,7
